article,dutch,english,example
de,aagte,The apple,The aagte is an old Dutch apple variety often used for cider.
de,aai,The stroke,She gave the dog a gentle stroke on the head.
de,aalbes,The currant,The currant is a small tart berry often used in jams.
de,aalmoes,The alms,The beggar asked the passersby for some alms.
de,aalmoezenier,The chaplain,The chaplain offered spiritual guidance to the soldiers.
de,aalput,The cesspit,Workers arrived to clean out the old cesspit behind the house.
het,aanbeeld,The anvil,The blacksmith struck the glowing iron on the anvil.
de,aambei,The hemorrhoid,The patient consulted a doctor regarding a painful hemorrhoid.
de,aanbesteding,The tender,The company submitted a competitive tender for the new bridge.
de,aanbetaling,The down payment,We made a down payment to secure the purchase of the car.
de,aanbeveling,The recommendation,The professor wrote a strong recommendation for his student.
de,aanbidder,The admirer,The singer received a bouquet of flowers from a secret admirer.
de,aanbidding,The worship,The temple was built as a place for the worship of ancient gods.
de,aanbieder,The provider,You should compare different deals before choosing an internet provider.
de,aanbieding,The offer,The supermarket has a special offer on fresh fruit this week.
de,aanblik,The sight,The first sight of the mountains took our breath away.
de,aanbouw,The extension,They are building an extension to create more space in the kitchen.
de,aanbrenger,The informant,The police protected the identity of the informant in the case.
het,aandachtspunt,The point of interest,Safety is a major point of interest during the construction phase.
het,aandachtsgebied,The area of interest,Environmental protection is a key area of interest for this organization.
de,aandeelhouder,The shareholder,The shareholder attended the annual meeting to vote on the new policy.
de,aandelenbeurs,The stock exchange,The stock exchange saw a significant drop in prices this morning.
het,aandenken,The memento,She kept the old photograph as a memento of her childhood.
de,aandoening,The condition,Asthma is a chronic respiratory condition that requires management.
de,aandrijving,The drive,The car features a sophisticated four-wheel drive system.
de,aanduiding,The indication,The sign provided a clear indication of the nearest exit.
de,aaneenschakeling,The sequence,The movie is a sequence of breathtaking action scenes.
de,aangelegenheid,The matter,The legal team is currently investigating the matter in detail.
het,aangezicht,The countenance,A look of pure joy spread across her countenance when she saw him.
de,aangifte,The declaration,You must submit your tax declaration before the end of the month.
de,aanhaling,The quotation,The writer opened the chapter with a famous quotation about love.
het,aanhalingsteken,The quotation mark,Remember to place the dialogue inside a quotation mark.
de,aanhanger,The supporter,The political leader was greeted by a loyal supporter at the rally.
het,aanhangsel,The appendix,The technical specifications are listed in the appendix of the manual.
de,aanhangwagen,The trailer,They attached the trailer to the car to move the furniture.
de,aanhef,The salutation,The formal letter began with a professional salutation.
de,aanhouding,The arrest,The suspect was taken into custody following his arrest last night.
de,aanklacht,The indictment,The prosecutor read the formal indictment in the courtroom.
de,aanklager,The prosecutor,The prosecutor presented the evidence to the jury during the trial.
het,aanknopingspunt,The starting point,The detective found a new starting point for the investigation.
de,aankomst,The arrival,The family waited at the airport for the arrival of their relatives.
de,aankomsttijd,The arrival time,The train's arrival time was delayed by fifteen minutes.
de,aankondiging,The announcement,The principal made an announcement about the upcoming school holiday.
de,aankoopbon,The receipt,Please keep your receipt in case you need to return the item.
de,aankoopprijs,The purchase price,The purchase price of the house was higher than we expected.
de,aankoop,The purchase,She was very happy with her latest purchase from the boutique.
de,aankoper,The buyer,The buyer and the seller agreed on a final price for the antique.
de,aanlegsteiger,The jetty,The boat was securely tied to the wooden jetty.
de,aanleiding,The occasion,The anniversary was the perfect occasion for a family gathering.
de,aanloop,The approach,The athlete took a long approach before jumping over the bar.
