article,dutch,english,example
de,aardappel,The potato,The potato is on the table.
de,aardbei,The strawberry,The strawberry is on the table.
de,accountant,The accountant,The accountant is on the table.
de,acteur,The actor,The actor is on the table.
de,actie,The action,The action is on the table.
de,activiteit,The activity,The activity is on the table.
de,agent,The agent,The agent is on the table.
het,alarm,The alarm,The alarm is on the table.
het,album,The album,The album is on the table.
de,ambassade,The embassy,The embassy is on the table.
de,ambtenaar,The civil servant,The civil servant is on the table.
de,analyse,The analysis,The analysis is on the table.
de,anekdote,The anecdote,The anecdote is on the table.
het,anker,The anchor,The anchor is on the table.
het,antwoord,The answer,The answer is on the table.
het,appartement,The apartment,The apartment is on the table.
de,appel,The apple,The apple is on the table.
de,app,The app,The app is on the table.
de,arbeider,The worker,The worker is on the table.
de,architect,The architect,The architect is on the table.
de,arm,The arm,The arm is on the table.
het,artikel,The article,The article is on the table.
de,arts,The doctor,The doctor is on the table.
de,avond,The evening,The evening is on the table.
de,baard,The beard,The beard is on the table.
het,bad,The bath,The bath is on the table.
de,bakker,The baker,The baker is on the table.
de,bal,The ball,The ball is on the table.
de,bank,The bank,The bank is on the table.
de,bar,The bar,The bar is on the table.
de,batterij,The battery,The battery is on the table.
het,bed,The bed,The bed is on the table.
het,beeld,The image,The image is on the table.
de,beker,The cup,The cup is on the table.
de,belasting,The tax,The tax is on the table.
de,bezoeker,The visitor,The visitor is on the table.
het,bier,The beer,The beer is on the table.
de,bij,The bee,The bee is on the table.
het,boek,The book,The book is on the table.
het,bureau,The office desk,The office desk is on the table.
